consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text.started,scales_images.started,text_4.started,next_slide_text.started,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,59,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19cs,images/all_images/19cs.jpeg,,,,,,,,,,,,,0,6,6,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.72134365595412,76.72134365595412,76.72134365595412,76.72134365595412,76.72134365595412,76.79914625798119,1.7277777777777779,0.058467494032811373,space,0.020914793072734028,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
,,,,,,2,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2cn,images/all_images/2cn.jpeg,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85872088198084,76.85872088198084,76.85872088198084,76.85872088198084,76.85872088198084,76.94912361697061,1.7277777777777779,0.07357786898501217,space,0.03222055302467197,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
,,,,,,31,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11in,images/all_images/11in.jpeg,,,,,,,,,,,,,0,8,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.00645208900096,77.00645208900096,77.00645208900096,77.00645208900096,77.00645208900096,77.09911475598346,1.7277777777777779,0.07538568001473323,space,0.0090338250156492,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
,,,,,,14,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14cn,images/all_images/14cn.jpeg,,,,,,,,,,,,,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.13825748499949,77.13825748499949,77.13825748499949,77.13825748499949,77.13825748499949,77.23239583399845,1.7277777777777779,0.07473600498633459,space,0.012650914024561644,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
,,,,,,12,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12in,images/all_images/12in.jpeg,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.27066802897025,77.27066802897025,77.27066802897025,77.27066802897025,77.27066802897025,77.38275827694451,1.7277777777777779,0.24241134198382497,space,0.1429578800452873,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
,,,,,,57,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17is,images/all_images/17is.jpeg,,,,,,,,,,,,,0,11,11,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.55611943796976,77.55611943796976,77.55611943796976,77.55611943796976,77.55611943796976,77.68279248895124,1.7277777777777779,0.10814955102978274,space,0.0016027360688894987,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
,,,,,,42,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2in,images/all_images/2in.jpeg,,,,,,,,,,,,,0,12,12,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.72199429699685,77.72199429699685,77.72199429699685,77.72199429699685,77.72199429699685,77.81593881099252,1.7277777777777779,0.0739296319661662,space,0.005675628082826734,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
,,,,,,34,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14is,images/all_images/14is.jpeg,,,,,,,,,,,,,0,13,13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.85334311798215,77.85334311798215,77.85334311798215,77.85334311798215,77.85334311798215,78.81622952094767,1.7277777777777779,1.0937829010072164,space,0.14252105000196025,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
,,,,,,73,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13in,images/all_images/13in.jpeg,,,,,,,,,,,,,0,14,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.99263813497964,78.99263813497964,78.99263813497964,78.99263813497964,78.99263813497964,79.0999503499479,1.7277777777777779,0.09131385199725628,space,0.035846779006533325,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
,,,,,,21,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1cn,images/all_images/1cn.jpeg,,,,,,,,,,,,,0,15,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17590742895845,79.17590742895845,79.17590742895845,79.17590742895845,79.17590742895845,79.24991967598908,1.7277777777777779,0.054925449017900974,space,0.021307090064510703,,,,,,,,,2023-02-21_15h55.13.465,BZ,2022.2.4,None,
