consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,scale,label,item_type,item_no,sentence,question,correct_option,granularity,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,triangle.started,slider_image.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,mouse_2.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,total_duration,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,extend,label,E,34,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E34_extend_label.png,,,,,,,,,,,,,0,27,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.0624536649848,476.0624536649848,476.0624536649848,476.0624536649848,476.0624536649848,483.52474475000054,1.1416666666666666,7.472533291991567,space,0.1279639069980476,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,AC,53,Ignore the map. Move the marker all the way to the 'Very urgently' end of the scale.,"Based on the text above, how have you been asked to respond?",2.0,0.5,map_generator/maps/AC53_trunc_label.png,,,,,,,,,,,,,0,28,28,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.80234955699416,483.80234955699416,483.80234955699416,483.80234955699416,483.80234955699416,485.8914977789973,1.0,2.097083502012538,space,0.13184472799184732,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,AC,49,Ignore the map. Move the marker all the way to the 'Not very urgently' end of the scale.,"Based on the text above, how have you been asked to respond?",1.0,0.5,map_generator/maps/AC49_trunc_label.png,,,,,,,,,,,,,0,29,29,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.1679016169801,486.1679016169801,486.1679016169801,486.1679016169801,486.1679016169801,487.24161576098413,1.0,4.265358781995019,space,3.2405905470077414,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,E,21,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E21_trunc_label.png,,,,,,,,,,,,,0,30,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.63824984797975,490.63824984797975,490.63824984797975,490.63824984797975,490.63824984797975,493.42487956699915,1.8666666666666667,2.794068891002098,space,0.4703557069879025,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,E,30,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E30_trunc_label.png,,,,,,,,,,,,,0,31,31,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.03898912097793,494.03898912097793,494.03898912097793,494.03898912097793,494.03898912097793,495.20806659100344,1.4708333333333332,1.1698098910273984,space,0.4412339830014389,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,label,E,1,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E1_extend_label.png,,,,,,,,,,,,,0,32,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.7889495389827,495.7889495389827,495.7889495389827,495.7889495389827,495.7889495389827,497.6082246809965,1.8395833333333333,1.8226412550138775,space,0.20110556299914606,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,blank,E,24,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E24_extend_blank.png,,,,,,,,,,,,,0,33,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.9551897609781,497.9551897609781,497.9551897609781,497.9551897609781,497.9551897609781,499.6248777669971,1.3375,4.222986277018208,space,2.8155750789737795,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,31,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E31_trunc_blank.png,,,,,,,,,,,,,0,34,34,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.57857610698557,502.57857610698557,502.57857610698557,502.57857610698557,502.57857610698557,504.49108961899765,1.8416666666666668,1.9205374760203995,space,0.3417898539919406,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,E,42,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E42_trunc_label.png,,,,,,,,,,,,,0,35,35,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.9723519209947,504.9723519209947,504.9723519209947,504.9723519209947,504.9723519209947,506.97464218898676,1.1916666666666667,2.005340439005522,space,0.23602869699243456,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,label,E,13,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E13_extend_label.png,,,,,,,,,,,,,0,36,36,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.3550234879949,507.3550234879949,507.3550234879949,507.3550234879949,507.3550234879949,509.0583177229855,1.575,1.7076235920249019,space,0.18454162002308294,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,label,E,37,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E37_extend_label.png,,,,,,,,,,,,,0,37,37,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.3885028779914,509.3885028779914,509.3885028779914,509.3885028779914,509.3885028779914,510.79149496997707,1.69375,1.4043353119923268,space,0.20733459500479512,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,E,26,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E26_trunc_label.png,,,,,,,,,,,,,0,38,38,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.14561679700273,511.14561679700273,511.14561679700273,511.14561679700273,511.14561679700273,512.6912163529778,1.525,1.5537512169976253,space,0.3487273069913499,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
