info_sheet_loop.thisIndex,expName,file_name,textbox.text,genderResp2.text,__participant,spacebar_continue.rt,spacebar_continue_3.keys,sentence,q5_slider.response,mouse_3.x,spacebar_continue.keys,genderResp1.response,info_sheet_loop.thisRepN,next_slide_key.keys,arrow_posx,consent_loop.thisTrialN,mouse_3.leftButton,OS,q4_slider.response,instruction,spacebar_continue_7.keys,trials.thisN,spacebar_continue_7.rt,slide_text,mouse_3.midButton,frameRate,arrow_posy,scale_slider.response,trials.ran,consent_loop.thisRepN,edu_slider.response,next_slide_key.rt,consent_item,psychopyVersion,consent_loop.ran,participant,info_sheet_loop.thisN,instructions_loop.ran,spacebar_continue_3.rt,consent_key.rt,q2_slider.response,info_sheet_loop.thisTrialN,item_no,mouse_3.clicked_name,q1_slider.response,trials.thisIndex,consent_key.keys,info_sheet_loop.ran,q3_slider.response,mouse_3.y,date,mouse_3.rightButton,instructions_loop.thisN,__datetime,trials.thisRepN,slider.response,instructions_loop.thisIndex,correct_option,consent_loop.thisIndex,triangle_pos,__session,granularity,genderResp1.rt,instructions_loop.thisTrialN,slider.rt,question,file_path,ageResp.text,total_duration,__experimentName,consent_loop.thisN,trials.thisTrialN,instructions_loop.thisRepN
﻿,BZ,3cn,,,PARTICIPANT,0.07399999999999807,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,2,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,63,,,62,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.97910639444987,,NA,,,SESSION,0,,,1.6483999999910566,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/3cn.jpeg,,,3rd_year_experiment,,2,
﻿,BZ,11cn,,,PARTICIPANT,0.019400000005973084,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,3,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,71,,,70,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.0012157440185547,,NA,,,SESSION,0,,,2.9692999999970198,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/11cn.jpeg,,,3rd_year_experiment,,3,
﻿,BZ,3cs,,,PARTICIPANT,0.05860000000893706,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,4,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,43,,,42,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.9683929443359376,,NA,,,SESSION,0,,,2.0289000000059616,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/3cs.jpeg,,,3rd_year_experiment,,4,
﻿,BZ,6cn,,,PARTICIPANT,0.35620000000298546,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,5,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,6,,,5,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.5547623952229817,,NA,,,SESSION,0,,,1.7868000000119082,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/6cn.jpeg,,,3rd_year_experiment,,5,
﻿,BZ,17is,,,PARTICIPANT,0.7254999999999967,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,6,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,57,,,56,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.0042874654134115,,NA,,,SESSION,0,,,4.211900000005954,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/17is.jpeg,,,3rd_year_experiment,,6,
﻿,BZ,14cn,,,PARTICIPANT,0.19970000000297716,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,7,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,14,,,13,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.0354274749755858,,NA,,,SESSION,0,,,1.6814999999999998,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/14cn.jpeg,,,3rd_year_experiment,,7,
﻿,BZ,17cs,,,PARTICIPANT,0.6774000000059601,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,8,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,17,,,16,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.015040969848633,,NA,,,SESSION,0,,,2.8969999999999914,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/17cs.jpeg,,,3rd_year_experiment,,8,
﻿,BZ,3in,,,PARTICIPANT,0.12029999999701602,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,9,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,23,,,22,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.015040969848633,,NA,,,SESSION,0,,,1.1655000000000086,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/3in.jpeg,,,3rd_year_experiment,,9,
﻿,BZ,7cn,,,PARTICIPANT,0.06589999999106055,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,10,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,67,,,66,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.9970995585123699,,NA,,,SESSION,0,,,1.7457999999970184,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/7cn.jpeg,,,3rd_year_experiment,,10,
﻿,BZ,9cs,,,PARTICIPANT,0.0503999999910576,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,11,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,9,,,8,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.656112798055013,,NA,,,SESSION,0,,,1.1809999999999974,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/9cs.jpeg,,,3rd_year_experiment,,11,
